SSID,Year,OtherTopic,Data,Security,Application,Infra,FrontEnd,BackEnd,SaaS,Community,StartUp,Enterprise,Academic,AI/ML,Mobile,DevOps,Programming,Blockchain/Web3,Testing/QA,Design,Hardware/IoT/Maker,GIS/Mapping,CivicTech,FinTech/DeFi,EdTech,Telecom/5G,DevLifestyle,Multimedia/CreativeTech,MyData/PersonalData,Culture/Localization,Legal/Policy,SessionCount
P37MJW,2022,59,70,66,61,75,61,71,69,68,63,58,58,57,60,67,56,70,59,61,63,61,62,61,60,63,60,57,69,52,65,295
7NFEUB,2022,62,60,60,64,64,63,64,65,61,60,65,59,63,63,68,58,67,61,67,68,56,64,59,57,64,68,62,64,57,59,295
3XEFAY,2022,59,68,64,65,70,52,61,63,66,55,59,62,58,63,74,58,67,59,62,65,67,63,66,66,63,61,63,68,68,66,295
RKKKR7,2022,60,60,61,56,67,60,69,68,66,58,59,56,57,57,69,60,69,60,66,64,58,56,67,58,69,60,56,62,58,69,295
R8BRJJ,2022,55,62,54,55,52,55,60,57,49,55,55,58,66,51,59,63,58,59,58,59,57,53,60,58,58,61,60,60,50,53,295
FEMFBD,2022,56,62,58,64,63,59,60,68,55,56,59,56,74,61,56,56,61,57,62,66,64,59,52,60,53,63,67,60,54,59,295
LXPQ83,2022,59,68,58,57,59,53,53,62,55,59,62,56,58,52,60,53,57,60,53,57,60,60,59,57,60,59,57,57,55,55,295
LMRGTW,2022,62,57,57,67,59,59,59,60,68,60,57,56,60,60,59,62,62,62,60,68,66,64,61,64,61,64,66,56,59,61,295
LKGNEK,2022,63,69,59,67,68,58,62,67,67,63,58,56,62,65,62,61,63,57,63,65,81,63,55,69,61,68,65,63,64,60,295
SQZBZC,2022,59,55,57,65,59,71,71,62,60,58,54,53,64,70,63,57,61,57,59,65,58,58,56,60,58,60,60,59,54,55,295
FUJAW7,2022,66,59,59,62,60,61,64,62,54,56,61,58,59,64,65,61,61,64,64,60,57,59,58,57,66,60,59,60,55,61,295
FGVPHQ,2022,57,71,58,56,68,58,62,66,63,66,64,62,69,55,58,55,61,65,63,61,65,59,62,65,65,64,62,65,55,62,295
EEEDCX,2022,64,62,61,68,65,66,69,65,73,63,55,69,62,66,67,65,65,65,66,69,66,66,62,80,66,67,66,56,64,65,295
LDXDFN,2022,65,62,57,65,59,56,53,59,61,57,61,62,62,61,67,67,59,61,63,61,59,60,56,61,59,62,62,57,69,57,295
WFSF9Z,2022,67,66,67,69,73,63,65,70,78,70,67,65,66,67,68,58,67,62,64,69,72,72,61,68,65,70,67,63,65,72,295
99GBZC,2022,69,62,61,70,67,62,60,65,82,67,66,66,63,68,65,61,61,57,66,66,69,70,58,67,67,63,65,59,71,65,295
8SQR9J,2022,68,60,61,69,63,63,62,64,79,65,59,64,59,64,67,63,62,61,63,69,66,66,56,68,62,66,64,58,66,72,295
ADARAR,2022,62,62,64,67,69,69,68,69,68,64,63,59,63,67,64,61,68,63,71,70,66,63,60,66,70,63,64,64,60,64,295
7ACNBP,2022,51,53,57,55,58,51,60,53,51,48,58,55,61,55,59,52,56,56,60,62,54,53,52,52,50,57,53,54,50,54,295
SYX83C,2022,58,54,55,52,58,56,57,55,67,59,52,56,52,55,56,46,58,47,50,54,55,61,59,58,58,51,58,57,57,53,295
EAYHVW,2022,63,63,61,68,73,66,67,69,63,61,64,64,63,64,66,66,65,65,67,74,63,60,61,65,67,65,67,60,63,63,295
B7Z33N,2022,68,66,71,66,74,61,69,67,70,66,62,63,66,66,69,66,74,63,64,74,66,63,70,75,79,68,65,60,63,72,295
MM8PG8,2022,61,57,56,52,46,53,56,50,55,54,58,59,56,54,60,65,51,53,55,57,51,57,55,53,54,61,49,51,58,52,295
HSWD8J,2022,67,60,54,61,54,58,55,56,62,63,59,61,63,57,61,63,54,65,62,60,59,56,53,63,56,73,57,49,58,56,295
KCQNHE,2022,60,59,59,62,63,62,66,64,57,55,58,58,62,56,59,70,61,64,64,62,57,60,61,63,64,62,60,59,62,60,295
UG99QW,2022,65,68,66,62,67,59,60,67,80,71,68,59,65,62,68,61,62,57,64,68,67,75,62,67,65,62,66,61,67,69,295
HVYBGZ,2022,60,61,55,69,69,63,67,71,62,62,60,58,60,69,67,63,65,65,66,63,63,59,54,59,63,63,57,55,55,59,295
UNMMMT,2022,59,57,55,60,61,58,72,64,53,57,58,57,61,61,64,62,61,69,62,66,61,56,61,56,63,62,55,57,48,57,295
3QGWZD,2022,59,61,62,64,66,56,63,62,79,61,60,62,66,66,62,58,62,55,59,65,64,69,60,72,61,59,63,63,69,66,295
KZ9EMS,2022,66,68,74,63,74,58,66,63,65,57,61,64,67,64,68,56,77,65,61,72,67,64,70,68,73,68,66,71,61,72,295
